,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket
0,1,0,3,23,0,22.0,1,0,9
1,2,1,1,51,1,38.0,1,0,8
2,3,1,3,22,1,26.0,0,0,16
3,4,1,1,44,1,35.0,1,0,6
4,5,0,3,24,0,35.0,0,0,6
5,6,0,3,16,0,,0,0,6
6,7,0,1,23,0,54.0,0,0,5
7,8,0,3,30,0,2.0,3,1,6
8,9,1,3,49,1,27.0,0,2,6
9,10,1,2,35,1,14.0,1,0,6
10,11,1,3,31,1,4.0,1,1,7
11,12,1,1,24,1,58.0,0,0,6
12,13,0,3,30,0,20.0,0,0,9
13,14,0,3,27,0,39.0,1,5,6
14,15,0,3,36,1,14.0,0,0,6
15,16,1,2,32,1,55.0,0,0,6
16,17,0,3,20,0,2.0,4,1,6
17,18,1,2,28,0,,0,0,6
18,19,0,3,55,1,31.0,1,0,6
19,20,1,3,23,1,,0,0,4
20,21,0,2,20,0,35.0,0,0,6
21,22,1,2,21,0,34.0,0,0,6
22,23,1,3,27,1,15.0,0,0,6
23,24,1,1,28,0,28.0,0,0,6
24,25,0,3,29,1,8.0,3,1,6
25,26,1,3,57,1,38.0,1,5,6
26,27,0,3,23,0,,0,0,4
27,28,0,1,30,0,19.0,3,2,5
28,29,1,3,29,1,,0,0,6
29,30,0,3,19,0,,0,0,6
30,31,0,1,24,0,40.0,0,0,8
31,32,1,1,46,1,,1,0,8
32,33,1,3,24,1,,0,0,6
33,34,0,2,21,0,66.0,0,0,10
34,35,0,1,23,0,28.0,1,0,8
35,36,0,1,30,0,42.0,1,0,6
36,37,1,3,16,0,,0,0,4
37,38,0,3,24,0,21.0,0,0,10
38,39,0,3,34,1,18.0,2,0,6
39,40,1,3,27,1,14.0,1,0,4
40,41,0,3,46,1,40.0,1,0,4
41,42,0,2,56,1,27.0,1,0,5
42,43,0,3,19,0,,0,0,6
43,44,1,2,40,1,3.0,1,2,13
44,45,1,3,29,1,19.0,0,0,6
45,46,0,3,24,0,,0,0,15
46,47,0,3,17,0,,1,0,6
47,48,1,3,25,1,,0,0,5
48,49,0,3,19,0,,2,0,4
49,50,0,3,45,1,18.0,1,0,6
50,51,0,3,26,0,7.0,4,1,7
51,52,0,3,28,0,21.0,0,0,10
52,53,1,1,40,1,49.0,1,0,8
53,54,1,2,50,1,29.0,1,0,4
54,55,0,1,30,0,65.0,0,1,6
55,56,1,1,17,0,,0,0,5
56,57,1,2,17,1,21.0,0,0,10
57,58,0,3,19,0,28.5,0,0,4
58,59,1,2,28,1,5.0,1,2,10
59,60,0,3,34,0,11.0,5,2,7
60,61,0,3,21,0,22.0,0,0,4
61,62,1,1,19,1,38.0,0,0,6
62,63,0,1,27,0,45.0,1,0,5
63,64,0,3,21,0,4.0,3,2,6
64,65,0,1,21,0,,0,0,8
65,66,1,3,24,0,,1,1,4
