,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket
0,0,3,23,0,22.0,1,0,9
1,1,1,51,1,38.0,1,0,8
2,1,3,22,1,26.0,0,0,16
3,1,1,44,1,35.0,1,0,6
4,0,3,24,0,35.0,0,0,6
6,0,1,23,0,54.0,0,0,5
7,0,3,30,0,2.0,3,1,6
8,1,3,49,1,27.0,0,2,6
9,1,2,35,1,14.0,1,0,6
10,1,3,31,1,4.0,1,1,7
11,1,1,24,1,58.0,0,0,6
12,0,3,30,0,20.0,0,0,9
13,0,3,27,0,39.0,1,5,6
14,0,3,36,1,14.0,0,0,6
15,1,2,32,1,55.0,0,0,6
16,0,3,20,0,2.0,4,1,6
18,0,3,55,1,31.0,1,0,6
20,0,2,20,0,35.0,0,0,6
21,1,2,21,0,34.0,0,0,6
22,1,3,27,1,15.0,0,0,6
23,1,1,28,0,28.0,0,0,6
24,0,3,29,1,8.0,3,1,6
25,1,3,57,1,38.0,1,5,6
27,0,1,30,0,19.0,3,2,5
30,0,1,24,0,40.0,0,0,8
33,0,2,21,0,66.0,0,0,10
34,0,1,23,0,28.0,1,0,8
35,0,1,30,0,42.0,1,0,6
37,0,3,24,0,21.0,0,0,10
38,0,3,34,1,18.0,2,0,6
39,1,3,27,1,14.0,1,0,4
40,0,3,46,1,40.0,1,0,4
41,0,2,56,1,27.0,1,0,5
43,1,2,40,1,3.0,1,2,13
44,1,3,29,1,19.0,0,0,6
49,0,3,45,1,18.0,1,0,6
50,0,3,26,0,7.0,4,1,7
51,0,3,28,0,21.0,0,0,10
52,1,1,40,1,49.0,1,0,8
53,1,2,50,1,29.0,1,0,4
54,0,1,30,0,65.0,0,1,6
56,1,2,17,1,21.0,0,0,10
57,0,3,19,0,28.5,0,0,4
58,1,2,28,1,5.0,1,2,10
59,0,3,34,0,11.0,5,2,7
60,0,3,21,0,22.0,0,0,4
61,1,1,19,1,38.0,0,0,6
62,0,1,27,0,45.0,1,0,5
63,0,3,21,0,4.0,3,2,6
66,1,2,28,1,29.0,0,0,10
67,0,3,24,0,19.0,0,0,9
68,1,3,31,1,17.0,4,2,7
69,0,3,17,0,26.0,2,0,6
70,0,2,26,0,32.0,0,0,10
71,0,3,26,1,16.0,5,2,7
72,0,2,20,0,21.0,0,0,12
73,0,3,27,0,26.0,1,0,4
74,1,3,13,0,32.0,0,0,4
75,0,3,23,0,25.0,0,0,6
78,1,2,29,0,0.83,0,2,6
79,1,3,24,1,30.0,0,0,6
80,0,3,20,0,22.0,0,0,6
81,1,3,27,0,29.0,0,0,6
83,0,1,23,0,28.0,0,0,6
84,1,2,19,1,17.0,0,0,10
85,1,3,55,1,33.0,3,0,7
86,0,3,22,0,16.0,1,3,10
88,1,1,26,1,23.0,3,2,5
89,0,3,22,0,24.0,0,0,6
90,0,3,20,0,29.0,0,0,6
91,0,3,26,0,20.0,0,0,6
92,0,1,27,0,46.0,1,0,11
93,0,3,23,0,26.0,1,2,9
94,0,3,17,0,59.0,0,0,6
96,0,1,25,0,71.0,0,0,8
97,1,1,31,0,23.0,0,1,8
98,1,2,36,1,34.0,0,1,6
99,0,2,17,0,34.0,1,0,6
100,0,3,23,1,28.0,0,0,6
102,0,1,25,0,21.0,0,1,5
103,0,3,26,0,33.0,0,0,4
104,0,3,30,0,37.0,2,0,7
105,0,3,21,0,28.0,0,0,6
106,1,3,32,1,21.0,0,0,6
108,0,3,15,0,38.0,0,0,6
110,0,1,30,0,47.0,0,0,6
111,0,3,20,1,14.5,1,0,4
112,0,3,22,0,22.0,0,0,6
113,0,3,23,1,20.0,1,0,4
114,0,3,21,1,17.0,0,0,4
115,0,3,21,0,21.0,0,0,17
116,0,3,20,0,70.5,0,0,6
117,0,2,31,0,29.0,1,0,5
118,0,1,24,0,24.0,0,1,8
119,0,3,33,1,2.0,4,2,6
120,0,2,27,0,21.0,2,0,12
122,0,2,20,0,32.5,1,0,6
123,1,2,19,1,32.5,0,0,5
124,0,1,27,0,54.0,0,1,5
125,1,3,28,0,12.0,1,0,4
127,1,3,25,0,24.0,0,0,7
129,0,3,18,0,45.0,0,0,6
130,0,3,20,0,33.0,0,0,6
131,0,3,30,0,20.0,0,0,18
132,0,3,46,1,47.0,1,0,9
133,1,2,45,1,29.0,1,0,6
134,0,2,30,0,25.0,0,0,10
135,0,2,18,0,23.0,0,0,13
136,1,1,28,1,19.0,0,2,5
137,0,1,27,0,37.0,1,0,6
138,0,3,19,0,16.0,0,0,4
139,0,1,18,0,24.0,0,0,8
141,1,3,24,1,22.0,0,0,6
142,1,3,52,1,24.0,1,0,16
143,0,3,19,0,19.0,0,0,6
144,0,2,26,0,18.0,0,0,6
145,0,2,28,0,19.0,1,1,10
146,1,3,44,0,27.0,0,0,6
147,0,3,32,1,9.0,2,2,10
148,0,2,40,0,36.5,0,2,6
149,0,2,33,0,42.0,0,0,6
150,0,2,26,0,51.0,0,0,11
151,1,1,33,1,22.0,1,0,6
152,0,3,16,0,55.5,0,0,10
153,0,3,31,0,40.5,0,2,8
155,0,1,27,0,51.0,0,1,8
156,1,3,32,1,16.0,0,0,5
157,0,3,15,0,30.0,0,0,15
160,0,3,24,0,44.0,0,1,6
161,1,2,50,1,40.0,0,0,10
162,0,3,26,0,26.0,0,0,6
163,0,3,15,0,17.0,0,0,6
164,0,3,28,0,1.0,4,1,7
165,1,3,47,0,9.0,0,2,6
167,0,3,47,1,45.0,1,4,6
169,0,3,13,0,28.0,0,0,4
170,0,1,25,0,61.0,0,0,6
171,0,3,20,0,4.0,4,1,6
172,1,3,28,1,1.0,1,1,6
173,0,3,25,0,21.0,0,0,17
174,0,1,23,0,56.0,0,0,5
175,0,3,22,0,18.0,1,1,6
177,0,1,26,1,50.0,0,0,8
178,0,2,18,0,30.0,0,0,6
179,0,3,19,0,36.0,0,0,4
182,0,3,37,0,9.0,4,2,6
183,1,2,25,0,1.0,2,1,6
184,1,3,35,1,4.0,0,2,6
187,1,1,45,0,45.0,0,0,6
188,0,3,16,0,40.0,1,1,6
189,0,3,19,0,36.0,0,0,6
190,1,2,19,1,32.0,0,0,6
191,0,2,21,0,19.0,0,0,5
192,1,3,47,1,19.0,1,0,6
193,1,2,26,0,3.0,1,1,6
194,1,1,41,1,44.0,0,0,8
195,1,1,20,1,58.0,0,0,8
197,0,3,32,0,42.0,0,1,4
199,0,2,38,1,24.0,0,0,6
200,0,3,30,0,28.0,0,0,6
202,0,3,26,0,34.0,0,0,7
203,0,3,20,0,45.5,0,0,4
204,1,3,24,0,18.0,0,0,8
205,0,3,26,1,2.0,0,1,6
206,0,3,26,0,32.0,1,0,7
207,1,3,27,0,26.0,0,0,4
208,1,3,25,1,16.0,0,0,6
209,1,1,16,0,40.0,0,0,6
210,0,3,14,0,24.0,0,0,18
211,1,2,26,1,35.0,0,0,12
212,0,3,22,0,22.0,0,0,9
213,0,2,27,0,30.0,0,0,6
215,1,1,23,1,31.0,1,0,5
216,1,3,22,1,27.0,0,0,16
217,0,2,28,0,42.0,1,0,6
218,1,1,21,1,32.0,0,0,5
219,0,2,18,0,30.0,0,0,9
220,1,3,30,0,16.0,0,0,15
221,0,2,20,0,27.0,0,0,6
222,0,3,23,0,51.0,0,0,5
224,1,1,28,0,38.0,1,0,5
225,0,3,28,0,22.0,0,0,7
226,1,2,25,0,19.0,0,0,9
227,0,3,31,0,20.5,0,0,9
228,0,2,25,0,18.0,0,0,6
230,1,1,44,1,35.0,1,0,5
231,0,3,24,0,29.0,0,0,6
232,0,2,25,0,59.0,0,0,6
233,1,3,30,1,5.0,4,2,6
234,0,2,33,0,24.0,0,0,10
236,0,2,17,0,44.0,1,0,5
237,1,2,32,1,8.0,0,2,10
238,0,2,31,0,19.0,0,0,5
239,0,2,22,0,33.0,0,0,10
242,0,2,31,0,29.0,0,0,11
243,0,3,29,0,22.0,0,0,17
244,0,3,20,0,30.0,0,0,4
245,0,1,27,0,44.0,2,0,5
246,0,3,37,1,25.0,0,0,6
247,1,2,31,1,24.0,0,2,6
248,1,1,29,0,37.0,1,1,5
249,0,2,29,0,54.0,1,0,6
251,0,3,42,1,29.0,1,1,6
252,0,1,25,0,62.0,0,0,6
253,0,3,24,0,30.0,1,0,9
254,0,3,40,1,41.0,0,2,6
255,1,3,39,1,29.0,0,2,4
257,1,1,20,1,30.0,0,0,6
258,1,1,16,1,35.0,0,0,8
259,1,2,27,1,50.0,0,1,6
261,1,3,33,0,3.0,4,2,6
262,0,1,17,0,52.0,1,1,6
263,0,1,21,0,40.0,0,0,6
265,0,2,17,0,36.0,0,0,10
266,0,3,25,0,16.0,4,1,7
267,1,3,24,0,25.0,1,0,6
268,1,1,45,1,58.0,0,1,8
269,1,1,22,1,35.0,0,0,8
271,1,3,28,0,25.0,0,0,4
272,1,2,41,1,41.0,0,1,6
273,0,1,21,0,37.0,0,1,8
275,1,1,33,1,63.0,1,0,5
276,0,3,33,1,45.0,0,0,6
278,0,3,18,0,7.0,4,1,6
279,1,3,32,1,35.0,1,1,9
280,0,3,16,0,65.0,0,0,6
281,0,3,32,0,28.0,0,0,6
282,0,3,25,0,16.0,0,0,6
283,1,3,26,0,19.0,0,0,10
285,0,3,19,0,33.0,0,0,6
286,1,3,23,0,30.0,0,0,6
287,0,3,20,0,22.0,0,0,6
288,1,2,20,0,42.0,0,0,6
289,1,3,20,1,22.0,0,0,6
290,1,1,28,1,26.0,0,0,5
291,1,1,39,1,19.0,1,0,5
292,0,2,22,0,36.0,0,0,13
293,0,3,19,1,24.0,0,0,6
294,0,3,16,0,24.0,0,0,6
296,0,3,18,0,23.5,0,0,4
297,0,1,28,1,2.0,1,2,6
299,1,1,47,1,50.0,0,1,8
302,0,3,31,0,19.0,0,0,4
305,1,1,30,0,0.92,1,2,6
307,1,1,82,1,17.0,1,0,8
308,0,2,19,0,30.0,1,0,9
309,1,1,30,1,30.0,0,0,8
310,1,1,30,1,24.0,0,0,5
311,1,1,26,1,18.0,2,2,8
312,0,2,37,1,26.0,1,1,6
313,0,3,22,0,28.0,0,0,6
314,0,2,18,0,43.0,1,1,12
315,1,3,31,1,26.0,0,0,6
316,1,2,35,1,24.0,1,0,6
317,0,2,20,0,54.0,0,0,5
318,1,1,24,1,31.0,0,2,5
319,1,1,56,1,40.0,1,1,5
320,0,3,18,0,22.0,0,0,9
321,0,3,16,0,27.0,0,0,6
322,1,2,25,1,30.0,0,0,6
323,1,2,51,1,22.0,1,1,6
325,1,1,24,1,36.0,0,0,8
326,0,3,25,0,61.0,0,0,6
327,1,2,23,1,36.0,0,0,5
328,1,3,46,1,31.0,1,1,6
329,1,1,28,1,16.0,0,1,6
331,0,1,19,0,45.5,0,0,6
332,0,1,25,0,38.0,0,1,8
333,0,3,31,0,16.0,2,0,6
336,0,1,25,0,29.0,1,0,6
337,1,1,31,1,41.0,0,0,5
338,1,3,21,0,45.0,0,0,4
339,0,1,28,0,45.0,0,0,6
340,1,2,30,0,2.0,1,1,6
341,1,1,30,1,24.0,3,2,5
342,0,2,26,0,28.0,0,0,6
343,0,2,42,0,25.0,0,0,6
344,0,2,23,0,36.0,0,0,6
345,1,2,29,1,24.0,0,0,6
346,1,2,25,1,40.0,0,0,5
348,1,3,38,0,3.0,1,1,10
349,0,3,16,0,42.0,0,0,6
350,0,3,22,0,23.0,0,0,4
352,0,3,18,0,15.0,1,1,4
353,0,3,25,0,25.0,1,0,6
355,0,3,27,0,28.0,0,0,6
356,1,1,27,1,22.0,0,1,6
357,0,2,25,1,38.0,0,0,6
360,0,3,18,0,40.0,1,4,6
361,0,2,25,0,29.0,1,0,13
362,0,3,31,1,45.0,0,1,4
363,0,3,15,0,35.0,0,0,18
365,0,3,30,0,30.0,0,0,6
366,1,1,48,1,60.0,1,0,6
369,1,1,29,1,24.0,0,0,8
370,1,1,27,0,25.0,1,0,5
371,0,3,25,0,18.0,1,0,7
372,0,3,26,0,19.0,0,0,6
373,0,1,19,0,22.0,0,0,8
374,0,3,26,1,3.0,3,1,6
376,1,3,31,1,22.0,0,0,6
377,0,1,25,0,27.0,0,2,6
378,0,3,19,0,20.0,0,0,4
379,0,3,27,0,19.0,0,0,6
380,1,1,21,1,42.0,0,0,8
381,1,3,27,1,1.0,0,2,4
382,0,3,18,0,32.0,0,0,17
383,1,1,51,1,35.0,1,0,6
385,0,2,25,0,18.0,0,0,12
386,0,3,31,0,1.0,5,2,7
387,1,2,16,1,36.0,0,0,5
389,1,2,21,1,17.0,0,0,7
390,1,1,26,0,36.0,1,2,6
391,1,3,22,0,21.0,0,0,6
392,0,3,28,0,28.0,2,0,7
393,1,1,22,1,23.0,1,0,5
394,1,3,51,1,24.0,0,2,7
395,0,3,19,0,22.0,0,0,6
396,0,3,19,1,31.0,0,0,6
397,0,2,23,0,46.0,0,0,5
398,0,2,16,0,23.0,0,0,6
399,1,2,32,1,28.0,0,0,6
400,1,3,18,0,39.0,0,0,17
401,0,3,15,0,26.0,0,0,6
402,0,3,24,1,21.0,1,0,4
403,0,3,30,0,28.0,1,0,16
404,0,3,23,1,20.0,0,0,6
405,0,2,18,0,34.0,1,0,5
406,0,3,32,0,51.0,0,0,6
407,1,2,30,0,3.0,1,1,5
408,0,3,33,0,21.0,0,0,6
412,1,1,22,1,33.0,1,0,5
414,1,3,25,0,44.0,0,0,17
416,1,2,47,1,34.0,1,1,5
417,1,2,29,1,18.0,0,2,6
418,0,2,26,0,30.0,0,0,5
419,0,3,25,1,10.0,0,2,6
421,0,3,19,0,21.0,0,0,10
