,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare
14,0,3,36,1,14.0,0,0,6,7.8542
17,1,2,28,0,29.69911764705882,0,0,6,13.0
18,0,3,55,1,31.0,1,0,6,18.0
21,1,2,21,0,34.0,0,0,6,13.0
23,1,1,28,0,28.0,0,0,6,35.5
24,0,3,29,1,8.0,3,1,6,21.075
36,1,3,16,0,29.69911764705882,0,0,4,7.2292
38,0,3,34,1,18.0,2,0,6,18.0
40,0,3,46,1,40.0,1,0,4,9.475
41,0,2,56,1,27.0,1,0,5,21.0
49,0,3,45,1,18.0,1,0,6,17.8
55,1,1,17,0,29.69911764705882,0,0,5,35.5
65,1,3,24,0,29.69911764705882,1,1,4,15.2458
71,0,3,26,1,16.0,5,2,7,46.9
74,1,3,13,0,32.0,0,0,4,56.4958
78,1,2,29,0,0.83,0,2,6,29.0
81,1,3,27,0,29.0,0,0,6,9.5
97,1,1,31,0,23.0,0,1,8,63.3583
100,0,3,23,1,28.0,0,0,6,7.8958
107,1,3,22,0,29.69911764705882,0,0,6,7.775
111,0,3,20,1,14.5,1,0,4,14.4542
113,0,3,23,1,20.0,1,0,4,9.825
114,0,3,21,1,17.0,0,0,4,14.4583
119,0,3,33,1,2.0,4,2,6,31.275
125,1,3,28,0,12.0,1,0,4,11.2417
127,1,3,25,0,24.0,0,0,7,7.1417
132,0,3,46,1,47.0,1,0,9,14.5
140,0,3,29,1,29.69911764705882,0,2,4,15.2458
146,1,3,44,0,27.0,0,0,6,7.7958
147,0,3,32,1,9.0,2,2,10,34.375
165,1,3,47,0,9.0,0,2,6,20.525
167,0,3,47,1,45.0,1,4,6,27.9
177,0,1,26,1,50.0,0,0,8,28.7125
180,0,3,28,1,29.69911764705882,8,2,8,69.55
183,1,2,25,0,1.0,2,1,6,39.0
187,1,1,45,0,45.0,0,0,6,26.55
193,1,2,26,0,3.0,1,1,6,26.0
199,0,2,38,1,24.0,0,0,6,13.0
204,1,3,24,0,18.0,0,0,8,8.05
205,0,3,26,1,2.0,0,1,6,10.4625
207,1,3,27,0,26.0,0,0,4,18.7875
209,1,1,16,0,40.0,0,0,6,31.0
220,1,3,30,0,16.0,0,0,15,8.05
224,1,1,28,0,38.0,1,0,5,90.0
226,1,2,25,0,19.0,0,0,9,10.5
229,0,3,23,1,29.69911764705882,3,1,4,25.4667
235,0,3,28,1,29.69911764705882,0,0,10,7.55
240,0,3,21,1,29.69911764705882,1,0,4,14.4542
246,0,3,37,1,25.0,0,0,6,7.775
248,1,1,29,0,37.0,1,1,5,52.5542
251,0,3,42,1,29.0,1,1,6,10.4625
254,0,3,40,1,41.0,0,2,6,20.2125
261,1,3,33,0,3.0,4,2,6,31.3875
264,0,3,18,1,29.69911764705882,0,0,6,7.75
267,1,3,24,0,25.0,1,0,6,7.775
271,1,3,28,0,25.0,0,0,4,0.0
276,0,3,33,1,45.0,0,0,6,7.75
283,1,3,26,0,19.0,0,0,10,8.05
286,1,3,23,0,30.0,0,0,6,9.5
288,1,2,20,0,42.0,0,0,6,13.0
293,0,3,19,1,24.0,0,0,6,8.85
297,0,1,28,1,2.0,1,2,6,151.55
298,1,1,21,0,29.69911764705882,0,0,5,30.5
301,1,3,18,0,29.69911764705882,2,0,6,23.25
305,1,1,30,0,0.92,1,2,6,151.55
312,0,2,37,1,26.0,1,1,6,26.0
338,1,3,21,0,45.0,0,0,4,8.05
340,1,2,30,0,2.0,1,1,6,26.0
348,1,3,38,0,3.0,1,1,10,15.9
357,0,2,25,1,38.0,0,0,6,13.0
362,0,3,31,1,45.0,0,1,4,14.4542
370,1,1,27,0,25.0,1,0,5,55.4417
374,0,3,26,1,3.0,3,1,6,21.075
390,1,1,26,0,36.0,1,2,6,120.0
391,1,3,22,0,21.0,0,0,6,7.7958
396,0,3,19,1,31.0,0,0,6,7.8542
400,1,3,18,0,39.0,0,0,17,7.925
402,0,3,24,1,21.0,1,0,4,9.825
404,0,3,23,1,20.0,0,0,6,8.6625
407,1,2,30,0,3.0,1,1,5,18.75
409,0,3,18,1,29.69911764705882,3,1,4,25.4667
414,1,3,25,0,44.0,0,0,17,7.925
415,0,3,39,1,29.69911764705882,0,0,6,8.05
419,0,3,25,1,10.0,0,2,6,24.15
423,0,3,54,1,28.0,1,1,6,14.4
429,1,3,34,0,32.0,0,0,17,8.05
430,1,1,41,0,28.0,0,0,6,26.55
436,0,3,36,1,21.0,2,2,10,34.375
444,1,3,33,0,29.69911764705882,0,0,5,8.1125
445,1,1,25,0,4.0,0,2,5,81.8583
447,1,1,27,0,34.0,0,0,6,26.55
449,1,1,30,0,52.0,0,0,6,30.5
453,1,1,24,0,49.0,1,0,5,89.1042
455,1,3,18,0,29.0,0,0,6,7.8958
460,1,1,19,0,48.0,0,0,5,26.55
474,0,3,27,1,22.0,0,0,4,9.8375
484,1,1,23,0,25.0,1,0,5,91.0792
485,0,3,22,1,29.69911764705882,3,1,4,25.4667
489,1,3,37,0,9.0,1,1,10,15.9
498,0,1,47,1,25.0,1,2,6,151.55
501,0,3,19,1,21.0,0,0,6,7.75
502,0,3,30,1,29.69911764705882,0,0,6,7.6292
503,0,3,30,1,37.0,0,0,4,9.5875
507,1,1,45,0,29.69911764705882,0,0,6,26.55
509,1,3,14,0,26.0,0,0,4,56.4958
510,1,3,24,0,29.0,0,0,6,7.75
512,1,1,25,0,36.0,0,0,8,26.2875
534,0,3,19,1,30.0,0,0,6,8.6625
541,0,3,36,1,9.0,4,2,6,31.275
542,0,3,33,1,11.0,4,2,6,31.275
543,1,2,17,0,32.0,1,0,4,26.0
547,1,2,26,0,29.69911764705882,0,0,13,13.8625
549,1,2,30,0,8.0,1,1,10,36.75
550,1,1,27,0,17.0,0,2,5,110.8833
553,1,3,33,0,22.0,0,0,4,7.225
564,0,3,30,1,29.69911764705882,0,0,17,8.05
567,0,3,43,1,29.0,0,4,6,21.075
569,1,3,17,0,32.0,0,0,6,7.8542
570,1,2,18,0,62.0,0,0,11,10.5
572,1,1,32,0,36.0,0,0,8,26.3875
578,0,3,32,1,29.69911764705882,1,0,4,14.4583
579,1,3,19,0,32.0,0,0,17,7.925
587,1,1,32,0,60.0,1,1,5,79.2
593,0,3,18,1,29.69911764705882,0,2,6,7.75
599,1,1,44,0,49.0,1,0,8,56.9292
604,1,1,31,0,35.0,0,0,6,26.55
607,1,1,27,0,27.0,0,0,6,30.5
610,0,3,57,1,39.0,1,5,6,31.275
617,0,3,47,1,26.0,1,0,9,16.1
621,1,1,28,0,42.0,1,0,5,52.5542
622,1,3,16,0,20.0,1,1,4,15.7417
630,1,1,36,0,80.0,0,0,5,30.0
632,1,1,25,0,32.0,0,0,5,30.5
634,0,3,18,1,9.0,3,2,6,27.9
638,0,3,38,1,41.0,0,5,7,39.6875
642,0,3,29,1,2.0,3,2,6,27.9
643,1,3,15,0,29.69911764705882,0,0,4,56.4958
645,1,1,25,0,48.0,1,0,8,76.7292
647,1,1,35,0,56.0,0,0,5,35.5
654,0,3,28,1,18.0,0,0,6,6.75
657,0,3,29,1,32.0,1,1,6,15.5
660,1,1,29,0,50.0,2,0,8,133.65
664,1,3,27,0,20.0,1,0,17,7.925
673,1,2,21,0,31.0,0,0,6,13.0
678,0,3,39,1,43.0,1,6,7,46.9
679,1,1,34,0,36.0,0,1,8,512.3292
680,0,3,19,1,29.69911764705882,0,0,6,8.1375
681,1,1,18,0,27.0,0,0,8,76.7292
690,1,1,23,0,31.0,1,0,5,57.0
692,1,3,12,0,29.69911764705882,0,0,4,56.4958
701,1,1,32,0,35.0,0,0,8,26.2875
702,0,3,21,1,18.0,0,1,4,14.4542
707,1,1,33,0,42.0,0,0,8,26.2875
709,1,3,49,0,29.69911764705882,1,1,4,15.2458
712,1,1,24,0,48.0,1,0,5,52.0
724,1,1,29,0,27.0,1,0,6,53.1
729,0,3,29,1,25.0,1,0,16,7.925
736,0,3,39,1,48.0,1,3,10,34.375
737,1,1,22,0,35.0,0,0,8,512.3292
740,1,1,27,0,29.69911764705882,0,0,5,30.0
744,1,3,18,0,31.0,0,0,17,7.925
751,1,3,19,0,6.0,0,1,6,12.475
755,1,2,25,0,0.67,1,1,6,14.5
