,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare
0,0,3,23,0,22.0,1,0,9,7.25
1,1,1,51,1,38.0,1,0,8,71.2833
2,1,3,22,1,26.0,0,0,16,7.925
3,1,1,44,1,35.0,1,0,6,53.1
4,0,3,24,0,35.0,0,0,6,8.05
6,0,1,23,0,54.0,0,0,5,51.8625
7,0,3,30,0,2.0,3,1,6,21.075
8,1,3,49,1,27.0,0,2,6,11.1333
9,1,2,35,1,14.0,1,0,6,30.0708
10,1,3,31,1,4.0,1,1,7,16.7
11,1,1,24,1,58.0,0,0,6,26.55
12,0,3,30,0,20.0,0,0,9,8.05
13,0,3,27,0,39.0,1,5,6,31.275
14,0,3,36,1,14.0,0,0,6,7.8542
15,1,2,32,1,55.0,0,0,6,16.0
16,0,3,20,0,2.0,4,1,6,29.125
18,0,3,55,1,31.0,1,0,6,18.0
20,0,2,20,0,35.0,0,0,6,26.0
21,1,2,21,0,34.0,0,0,6,13.0
22,1,3,27,1,15.0,0,0,6,8.0292
23,1,1,28,0,28.0,0,0,6,35.5
24,0,3,29,1,8.0,3,1,6,21.075
25,1,3,57,1,38.0,1,5,6,31.3875
27,0,1,30,0,19.0,3,2,5,263.0
30,0,1,24,0,40.0,0,0,8,27.7208
33,0,2,21,0,66.0,0,0,10,10.5
34,0,1,23,0,28.0,1,0,8,82.1708
35,0,1,30,0,42.0,1,0,6,52.0
37,0,3,24,0,21.0,0,0,10,8.05
38,0,3,34,1,18.0,2,0,6,18.0
39,1,3,27,1,14.0,1,0,4,11.2417
40,0,3,46,1,40.0,1,0,4,9.475
41,0,2,56,1,27.0,1,0,5,21.0
43,1,2,40,1,3.0,1,2,13,41.5792
44,1,3,29,1,19.0,0,0,6,7.8792
49,0,3,45,1,18.0,1,0,6,17.8
50,0,3,26,0,7.0,4,1,7,39.6875
51,0,3,28,0,21.0,0,0,10,7.8
52,1,1,40,1,49.0,1,0,8,76.7292
53,1,2,50,1,29.0,1,0,4,26.0
54,0,1,30,0,65.0,0,1,6,61.9792
56,1,2,17,1,21.0,0,0,10,10.5
57,0,3,19,0,28.5,0,0,4,7.2292
58,1,2,28,1,5.0,1,2,10,27.75
59,0,3,34,0,11.0,5,2,7,46.9
60,0,3,21,0,22.0,0,0,4,7.2292
61,1,1,19,1,38.0,0,0,6,80.0
62,0,1,27,0,45.0,1,0,5,83.475
63,0,3,21,0,4.0,3,2,6,27.9
66,1,2,28,1,29.0,0,0,10,10.5
67,0,3,24,0,19.0,0,0,9,8.1583
68,1,3,31,1,17.0,4,2,7,7.925
69,0,3,17,0,26.0,2,0,6,8.6625
70,0,2,26,0,32.0,0,0,10,10.5
71,0,3,26,1,16.0,5,2,7,46.9
72,0,2,20,0,21.0,0,0,12,73.5
73,0,3,27,0,26.0,1,0,4,14.4542
74,1,3,13,0,32.0,0,0,4,56.4958
75,0,3,23,0,25.0,0,0,6,7.65
78,1,2,29,0,0.83,0,2,6,29.0
79,1,3,24,1,30.0,0,0,6,12.475
80,0,3,20,0,22.0,0,0,6,9.0
81,1,3,27,0,29.0,0,0,6,9.5
83,0,1,23,0,28.0,0,0,6,47.1
84,1,2,19,1,17.0,0,0,10,10.5
85,1,3,55,1,33.0,3,0,7,15.85
86,0,3,22,0,16.0,1,3,10,34.375
88,1,1,26,1,23.0,3,2,5,263.0
89,0,3,22,0,24.0,0,0,6,8.05
90,0,3,20,0,29.0,0,0,6,8.05
91,0,3,26,0,20.0,0,0,6,7.8542
92,0,1,27,0,46.0,1,0,11,61.175
93,0,3,23,0,26.0,1,2,9,20.575
94,0,3,17,0,59.0,0,0,6,7.25
96,0,1,25,0,71.0,0,0,8,34.6542
97,1,1,31,0,23.0,0,1,8,63.3583
98,1,2,36,1,34.0,0,1,6,23.0
99,0,2,17,0,34.0,1,0,6,26.0
100,0,3,23,1,28.0,0,0,6,7.8958
102,0,1,25,0,21.0,0,1,5,77.2875
103,0,3,26,0,33.0,0,0,4,8.6542
104,0,3,30,0,37.0,2,0,7,7.925
105,0,3,21,0,28.0,0,0,6,7.8958
106,1,3,32,1,21.0,0,0,6,7.65
108,0,3,15,0,38.0,0,0,6,7.8958
110,0,1,30,0,47.0,0,0,6,52.0
111,0,3,20,1,14.5,1,0,4,14.4542
112,0,3,22,0,22.0,0,0,6,8.05
113,0,3,23,1,20.0,1,0,4,9.825
114,0,3,21,1,17.0,0,0,4,14.4583
115,0,3,21,0,21.0,0,0,17,7.925
116,0,3,20,0,70.5,0,0,6,7.75
117,0,2,31,0,29.0,1,0,5,21.0
118,0,1,24,0,24.0,0,1,8,247.5208
119,0,3,33,1,2.0,4,2,6,31.275
120,0,2,27,0,21.0,2,0,12,73.5
122,0,2,20,0,32.5,1,0,6,30.0708
123,1,2,19,1,32.5,0,0,5,13.0
124,0,1,27,0,54.0,0,1,5,77.2875
125,1,3,28,0,12.0,1,0,4,11.2417
127,1,3,25,0,24.0,0,0,7,7.1417
129,0,3,18,0,45.0,0,0,6,6.975
130,0,3,20,0,33.0,0,0,6,7.8958
131,0,3,30,0,20.0,0,0,18,7.05
132,0,3,46,1,47.0,1,0,9,14.5
133,1,2,45,1,29.0,1,0,6,26.0
134,0,2,30,0,25.0,0,0,10,13.0
135,0,2,18,0,23.0,0,0,13,15.0458
136,1,1,28,1,19.0,0,2,5,26.2833
137,0,1,27,0,37.0,1,0,6,53.1
138,0,3,19,0,16.0,0,0,4,9.2167
139,0,1,18,0,24.0,0,0,8,79.2
141,1,3,24,1,22.0,0,0,6,7.75
142,1,3,52,1,24.0,1,0,16,15.85
143,0,3,19,0,19.0,0,0,6,6.75
144,0,2,26,0,18.0,0,0,6,11.5
145,0,2,28,0,19.0,1,1,10,36.75
146,1,3,44,0,27.0,0,0,6,7.7958
147,0,3,32,1,9.0,2,2,10,34.375
148,0,2,40,0,36.5,0,2,6,26.0
149,0,2,33,0,42.0,0,0,6,13.0
150,0,2,26,0,51.0,0,0,11,12.525
151,1,1,33,1,22.0,1,0,6,66.6
152,0,3,16,0,55.5,0,0,10,8.05
